2012 TaG Sportsman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/14/2012,,4/15/2012,,4/22/2012,,5/12/2012,,5/13/2012,,6/03/2012,,6/10/2012,,7/01/2012,,7/15/2012,,8/12/2012,,8/25/2012,,08/26/2012,,09/23/2012,,09/30/2012,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Austin Queen,0,0,1,50,1,50,1,50,1,50,0,0,1,50,2,42,1,50,0,0,1,50,1,50,1,50,2,42,534
Michael Busse,0,0,0,0,2,42,2,42,2,42,1,50,0,0,1,50,2,42,1,50,0,0,2,42,0,0,1,50,410
Ryan Wilson,2,42,2,42,0,0,8,24,0,0,5,30,0,0,5,30,5,30,5,30,4,32,4,32,2,42,4,32,366
Brian Beard,4,32,4,32,4,32,4,32,7,26,3,35,0,0,4,32,6,28,7,26,3,35,0,0,5,30,0,0,340
Jonathan Miller,3,35,0,0,5,30,5,30,5,30,0,0,3,35,10,20,4,32,13,17,2,42,6,28,0,0,13,17,316
Tyler Meyers,0,0,0,0,14,16,11,19,9,22,9,22,5,30,9,22,8,24,8,24,5,30,8,24,0,0,6,28,261
Randall Collins,0,0,9,22,6,28,12,18,8,24,0,0,7,26,14,16,0,0,11,19,7,26,10,20,8,24,5,30,253
Rich Hamilton,0,0,8,24,10,20,9,22,6,28,7,26,0,0,0,0,17,13,6,28,6,28,5,30,15,15,15,15,249
Nick Chastain,0,0,5,30,7,26,7,26,0,0,10,20,12,18,11,19,7,26,9,22,12,18,11,19,9,22,0,0,246
Christian Ross,0,0,13,17,0,0,10,20,0,0,6,28,4,32,13,17,10,20,15,15,9,22,15,15,13,17,9,22,225
Phil Wassill,0,0,11,19,0,0,16,14,11,19,11,19,0,0,12,18,13,17,14,16,8,24,13,17,7,26,D,Q,189
Nelson Sando,0,0,12,18,15,15,15,15,13,17,14,16,11,19,15,15,15,15,0,0,11,19,0,0,0,0,0,0,149
Al Whittle,0,0,6,28,8,24,0,0,10,20,8,24,8,24,0,0,12,18,0,0,0,0,0,0,D,Q,0,0,138
Daniel Senechal,0,0,16,14,17,13,0,0,0,0,15,15,10,20,0,0,19,11,16,14,0,0,19,11,11,19,12,18,135
Chris Mullett,0,0,0,0,0,0,0,0,0,0,0,0,2,42,6,28,0,0,0,0,0,0,7,26,0,0,8,24,120
Joey Keaton,1,50,7,26,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
Jason Hedge,0,0,0,0,D,Q,14,16,12,18,12,18,9,22,0,0,16,14,0,0,D,Q,0,0,0,0,0,0,88
Stan Beard,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,17,13,0,0,16,14,10,20,10,20,83
Brandon Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,3,35,70
Tyler Moul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,Q,3,35,4,32,0,0,67
Scott Ferguson,0,0,0,0,13,17,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Tony Spalding,0,0,15,15,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Norm Clemo,0,0,0,0,D,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position = Point Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,