2012 Yamaha Jr. Sportsman Race #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/14/2012,,4/15/2012,,4/22/2012,,5/12/2012,,5/13/2012,,6/03/2012,,6/10/2012,,7/01/2012,,7/15/2012,,8/12/2012,,8/25/2012,,08/26/2012,,09/23/2012,,09/30/2012,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Garrett Moran,0,0,2,42,1,50,1,50,1,50,2,42,2,42,1,50,2,42,2,42,1,50,2,42,0,0,0,0,502
Michael Cruz,1,50,0,0,2,42,6,28,3,35,1,50,3,35,4,32,1,50,0,0,3,35,7,26,2,42,0,0,425
Adam Sturgill,0,0,7,26,0,0,7,26,4,32,0,0,6,28,2,42,6,28,1,50,2,42,1,50,1,50,7,26,400
Luke Fineis,3,35,0,0,4,32,3,35,2,42,3,35,1,50,0,0,4,32,0,0,4,32,5,30,5,30,2,42,395
Jordan Delphia,2,42,1,50,5,30,2,42,6,28,0,0,8,24,7,26,3,35,0,0,8,24,4,32,0,0,4,32,365
Gabriell Gilbert,4,32,4,32,7,26,4,32,0,0,5,30,4,32,0,0,0,0,3,35,7,26,3,35,9,22,1,50,352
Drew Lindley,0,0,0,0,8,24,5,30,5,30,0,0,5,30,3,35,9,22,4,32,5,30,6,28,7,26,6,28,315
Mark Fineis,7,26,11,19,9,22,0,0,12,18,9,22,0,0,8,24,0,0,5,30,6,28,9,22,4,32,3,35,278
Jack Chastain,0,0,0,0,11,19,10,20,7,26,7,26,9,22,9,22,5,30,6,28,9,22,11,19,6,28,0,0,262
Chandler Moran,8,24,12,18,13,17,0,0,10,20,10,20,12,18,12,18,8,24,7,26,0,0,10,20,0,0,5,30,235
Zach Pretorius,0,0,0,0,0,0,11,19,9,22,6,28,7,26,5,30,7,26,D,Q,10,20,D,Q,11,19,9,22,212
M. Sancez-Lara,10,20,8,24,0,0,12,18,0,0,11,19,13,17,11,19,10,20,9,22,14,16,0,0,0,0,11,19,194
Tony Petersen,5,30,6,28,3,35,8,24,8,24,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
Aiden Lindley,0,0,0,0,0,0,0,0,0,0,14,16,11,19,10,20,12,18,10,20,12,18,12,18,8,24,10,20,173
Jacob Clamme,11,19,17,13,18,12,17,13,0,0,16,14,14,16,14,16,13,17,0,0,17,13,19,11,14,16,0,0,160
Brennan Hanville,0,0,19,11,14,16,16,14,13,17,0,0,0,0,0,0,0,0,0,0,11,19,13,17,0,0,12,18,112
Kyle Ford,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,11,19,8,24,0,0,16,14,17,13,15,15,96
Nate Kavicky,13,17,15,15,0,0,13,17,14,16,0,0,0,0,13,17,17,13,0,0,0,0,0,0,0,0,0,0,95
Egan Shankleton,12,18,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Kendall Hedge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,18,12,27
Trey Miller,0,0,18,12,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Grayson Shankleton,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position = Point Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,