2012 Clone Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/14/2012,,4/15/2012,,4/22/2012,,5/12/2012,,5/13/2012,,6/03/2012,,6/10/2012,,7/01/2012,,7/15/2012,,8/12/2012,,8/25/2012,,08/26/2012,,09/23/2012,,09/30/2012,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Tim Bannon,2,42,2,42,2,42,2,42,1,50,0,0,2,42,0,0,0,0,2,42,1,50,2,42,2,42,3,35,471
Steve Knight,1,50,1,50,3,35,4,32,3,35,3,35,0,0,2,42,1,50,0,0,2,42,3,35,0,0,2,42,448
Michael Busse,0,0,0,0,1,50,3,35,13,17,1,50,1,50,1,50,2,42,1,50,0,0,1,50,0,0,1,50,444
Barry Miller,0,0,4,32,4,32,5,30,0,0,2,42,4,32,3,35,3,35,3,35,3,35,4,32,3,35,0,0,375
Curtis Boggs,0,0,5,30,6,28,7,26,0,0,10,20,9,22,0,0,6,28,8,24,5,30,6,28,4,32,9,22,290
Dave Creech,0,0,0,0,0,0,0,0,11,19,7,26,10,20,6,28,7,26,5,30,6,28,10,20,6,28,6,28,253
John Vottero,0,0,0,0,0,0,0,0,9,22,9,22,12,18,5,30,0,0,6,28,4,32,7,26,5,30,8,24,232
Dick Margison,0,0,3,35,12,18,11,19,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,1,50,5,30,184
George Badger,3,35,8,24,9,22,10,20,0,0,0,0,0,0,7,26,8,24,0,0,0,0,0,0,0,0,0,0,151
Rob Lehmann,0,0,7,26,8,24,8,24,12,18,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
Jon Ross,4,32,0,0,11,19,9,22,0,0,13,17,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
Vince Schneider,0,0,9,22,7,26,D,Q,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,97
Matthew Hedrick,0,0,0,0,0,0,6,28,5,30,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Robby Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,9,22,10,20,0,0,0,0,0,0,0,0,66
Stephen Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,4,32,64
Chris Guinn,0,0,0,0,0,0,0,0,7,26,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Tim Hollowell,0,0,0,0,0,0,0,0,8,24,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Chad Ross,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,40
Liz Lehmann,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Seth Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,30
Andy Batt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,0,22
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Position = Point Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,