2017 L0206 Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Eric Fagan,2,42,1,50,0,0,1,50,1,50,1,50,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,342
Matt Geist,4,32,3,35,0,0,2,42,8,24,2,42,2,42,5,30,0,0,0,0,0,0,0,0,0,0,0,0,247
Evan McCorquodale,7,26,2,42,0,0,7,26,2,42,4,32,5,30,2,42,0,0,0,0,0,0,0,0,0,0,0,0,240
Steve Knight,5,30,10,20,0,0,3,35,9,22,5,30,3,35,7,26,0,0,0,0,0,0,0,0,0,0,0,0,198
Ben Stahl,8,24,8,24,0,0,6,28,3,35,3,35,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,170
Drew Lansing,9,22,4,32,0,0,4,32,6,28,0,0,19,11,4,32,0,0,0,0,0,0,0,0,0,0,0,0,157
Eric Maitlen,11,19,7,26,0,0,8,24,5,30,DQ,DQ,7,26,6,28,0,0,0,0,0,0,0,0,0,0,0,0,153
Taylor Bookout,10,20,9,22,0,0,9,22,17,13,12,18,18,12,9,22,0,0,0,0,0,0,0,0,0,0,0,0,129
Kacy Stahl,21,9,11,19,0,0,10,20,10,20,11,19,10,20,11,19,0,0,0,0,0,0,0,0,0,0,0,0,126
Scott Hamble,24,6,5,30,0,0,12,18,7,26,0,0,6,28,13,17,0,0,0,0,0,0,0,0,0,0,0,0,125
Tracy Conlin,12,18,16,14,0,0,11,19,14,16,9,22,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
Levi Wilbur,0,0,20,10,0,0,13,17,11,19,10,20,9,22,17,13,0,0,0,0,0,0,0,0,0,0,0,0,101
Amber McGunegill,26,4,23,7,0,0,22,8,16,14,8,24,13,17,16,14,0,0,0,0,0,0,0,0,0,0,0,0,88
Grant Pendrey,0,0,24,6,0,0,0,0,12,18,6,28,12,18,12,18,0,0,0,0,0,0,0,0,0,0,0,0,88
Jonathan Schillinger,0,0,22,8,0,0,19,11,23,7,14,16,11,19,21,9,0,0,0,0,0,0,0,0,0,0,0,0,70
John Vottero,0,0,21,9,0,0,14,16,19,11,17,13,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
B.J. Schnettler,17,13,13,17,0,0,15,15,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Josh Lockhart,13,17,15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
Peter Bruce,33,1,0,0,0,0,0,0,18,12,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Corey Flint,28,2,18,12,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Josh Schneider,0,0,0,0,0,0,18,12,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Dave Creech,0,0,0,0,0,0,21,9,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,21
Jeff Norris,27,3,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Mark Nevill,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
J.D. Marksbury,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Randy Cassidy Jr. ,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Randy Cassidy Sr.,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sam Earnest,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Travis Schebler,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eric Weuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Loeffler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Ewing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Baukert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Wildridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Mienheartt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tad Stahl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Harleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position = Point Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,